"class","theme","prompt","output"
"Class 6-8","Introduction to Concepts","What is motion? Give an example.","Motion is the change in position of an object over time. Example: A running car a flying bird."
"Class 6-8","Introduction to Concepts","What is force? What can it do?","A force is a push or a pull on an object. It can make an object start moving stop moving change speed change direction or change shape."
"Class 6-8","Introduction to Concepts","Name different types of forces.","Some types of forces are muscular force gravitational force magnetic force frictional force and electrostatic force."
"Class 6-8","Introduction to Concepts","What is light? Does it travel in a straight line?","Light is a form of energy that allows us to see things. Yes light travels in straight lines (this is called rectilinear propagation)."
"Class 6-8","Introduction to Concepts","What is a shadow? How is it formed?","A shadow is a dark area formed when an opaque object blocks the path of light."
"Class 6-8","Introduction to Concepts","What is the difference between transparent translucent and opaque objects?","Transparent objects allow light to pass through completely (e.g. clear glass). Translucent objects allow some light to pass through (e.g. frosted glass). Opaque objects do not allow any light to pass through (e.g. wood)."
"Class 6-8","Introduction to Concepts","What is sound? How is it produced?","Sound is a form of energy that we can hear. It is produced by vibrating objects."
"Class 6-8","Introduction to Concepts","What is electricity? Name a source of electricity.","Electricity is a form of energy resulting from the existence of charged particles (like electrons). A common source is a battery or an electric cell."
"Class 6-8","Introduction to Concepts","What is an electric circuit? What is needed to make a simple circuit?","An electric circuit is a closed path through which electric current can flow. A simple circuit needs a source (cell) connecting wires and a device (like a bulb). A switch is often included."
"Class 6-8","Introduction to Concepts","What is a magnet? What are its poles?","A magnet is an object that attracts certain materials like iron. Every magnet has two poles: a North pole and a South pole."
"Class 6-8","Introduction to Concepts","What happens when you bring two magnets close together?","Like poles repel (push away) each other (North-North or South-South) and unlike poles attract (pull towards) each other (North-South)."
"Class 6-8","Introduction to Concepts","What is friction? Is it useful or harmful?","Friction is a force that opposes motion between surfaces in contact. It can be useful (helps us walk stops cars) and harmful (wears out machine parts produces unwanted heat)."
"Class 6-8","Introduction to Concepts","What is pressure?","Pressure is the force acting on a unit area of a surface. Formula: Pressure = Force / Area."
"Class 6-8","Introduction to Concepts","Why does a sharp knife cut better than a blunt knife?","A sharp knife has a very small area of contact. For the same applied force the pressure is much higher (Pressure = Force/Area) making it cut easily."
"Class 6-8","Introduction to Concepts","What is reflection of light?","Reflection is the bouncing back of light when it strikes a surface. Mirrors reflect light well."
"Class 6-8","Introduction to Concepts","What is speed? How is it calculated?","Speed is the distance travelled by an object per unit of time. Speed = Distance / Time."
"Class 6-8","Introduction to Concepts","What is the unit of speed?","The standard unit (SI unit) of speed is meters per second (m/s). Kilometers per hour (km/h) is also commonly used."
"Class 6-8","Introduction to Concepts","What is heat? How does it flow?","Heat is a form of energy that flows from a hotter object to a colder object."
"Class 6-8","Introduction to Concepts","What are conductors and insulators of heat? Give examples.","Conductors allow heat to pass through them easily (e.g. metals like iron copper). Insulators do not allow heat to pass through easily (e.g. wood plastic air)."
"Class 6-8","Introduction to Concepts","Name the three ways heat can be transferred.","Heat can be transferred by conduction (in solids) convection (in liquids and gases) and radiation (through empty space or air)."
"Class 9-10","Mechanics Heat Sound Light Electricity","State Newton's First Law of Motion (Law of Inertia).","An object at rest stays at rest and an object in motion stays in motion with the same speed and in the same direction unless acted upon by an unbalanced external force."
